Index,offset,difference
530,0.0457,0.043824195861816406
531,0.0350,0.04298114776611328
532,0.0269,0.0414280891418457
533,0.0208,0.04229903221130371
534,0.0203,0.04255795478820801
535,0.0234,0.04356789588928223
536,0.0261,0.0424191951751709
537,0.0213,0.04207897186279297
538,0.0192,0.041513919830322266
539,0.0189,0.042025089263916016
540,0.0014,0.04219222068786621
541,0.0042,0.04214024543762207
542,0.0272,0.04126906394958496
543,0.0181,0.04323220252990723
544,0.0200,0.04318404197692871
545,0.0049,0.042816162109375
546,0.0079,0.04124712944030762
547,0.0300,0.04249238967895508
548,0.0285,0.04337930679321289
549,0.0267,0.04317903518676758
550,0.0397,0.04305696487426758
551,0.0212,0.04349780082702637
552,0.0406,0.04324793815612793
553,0.0547,0.04206490516662598
554,0.0216,0.041381120681762695
555,0.0067,0.04204893112182617
556,0.1003,0.04207205772399902
557,0.0168,0.04142284393310547
558,0.0266,0.041330814361572266
559,0.0435,0.040992021560668945
560,0.0334,0.04233884811401367
561,0.0447,0.04334688186645508
562,0.0476,0.044077157974243164
563,0.0588,0.04284024238586426
564,0.0588,0.042797088623046875
565,0.0652,0.04309415817260742
566,0.0726,0.04298806190490723
567,0.0787,0.04258084297180176
568,0.0806,0.04222607612609863
569,0.0741,0.043298959732055664
570,0.0631,0.042790889739990234
571,0.0712,0.04170393943786621
572,0.0773,0.04120898246765137
573,0.0149,0.0416560173034668
574,0.0393,0.0422511100769043
575,0.0512,0.04184699058532715
576,0.0532,0.042758941650390625
577,0.0473,0.04305386543273926
578,0.0576,0.042952775955200195
579,0.0594,0.044895172119140625
580,0.0576,0.04335284233093262
581,0.0532,0.04313492774963379
582,0.0561,0.04521894454956055
583,0.0526,0.042684078216552734
584,0.0516,0.04281306266784668
585,0.0472,0.042520761489868164
586,0.0408,0.041517019271850586
587,0.0856,0.041168928146362305
588,0.0021,0.04235696792602539
589,0.0327,0.04152989387512207
590,0.0111,0.04128122329711914
591,0.0544,0.042046308517456055
592,0.0331,0.04183769226074219
593,0.0220,0.04304909706115723
594,0.0314,0.043103933334350586
595,0.0276,0.04354405403137207
596,0.0216,0.04383683204650879
597,0.0190,0.04351472854614258
598,0.0128,0.04373025894165039
599,0.0058,0.043743133544921875
600,0.0002,0.043519020080566406
601,0.0031,0.041486263275146484
602,0.0999,0.04158377647399902
